Image,Confidence,TP,FP,FN,TP_acc,FP_acc,FN_acc,Precision,Recall,F1
Image 99,0.9987389445304871,1,0,0,60,0,69,1.0,0.14492753623188406,0.25316455696202533
Image 85,0.9987266659736633,1,0,0,61,0,69,1.0,0.1473429951690821,0.25684210526315787
Image 78,0.9987118244171143,1,0,0,62,0,69,1.0,0.1497584541062802,0.2605042016806723
Image 43,0.998701810836792,1,0,0,63,0,69,1.0,0.15217391304347827,0.2641509433962264
Image 59,0.9985930323600769,1,0,1,64,0,70,1.0,0.15458937198067632,0.26778242677824265
Image 30,0.9985613226890564,1,0,1,65,0,71,1.0,0.1570048309178744,0.27139874739039666
Image 42,0.9985479712486267,1,0,2,66,0,73,1.0,0.15942028985507245,0.27499999999999997
Image 96,0.9985248446464539,1,0,0,67,0,73,1.0,0.16183574879227053,0.27858627858627855
Image 98,0.9985228180885315,1,0,0,68,0,73,1.0,0.1642512077294686,0.2821576763485477
Image 16,0.9984922409057617,1,0,2,69,0,75,1.0,0.16666666666666666,0.2857142857142857
Image 35,0.9984773993492126,1,0,0,70,0,75,1.0,0.16908212560386474,0.2892561983471074
Image 113,0.9984704852104187,1,0,2,71,0,77,1.0,0.17149758454106281,0.2927835051546392
Image 103,0.9983838796615601,1,0,0,72,0,77,1.0,0.17391304347826086,0.29629629629629634
Image 13,0.9983628392219543,1,0,0,73,0,77,1.0,0.17632850241545894,0.29979466119096515
Image 122,0.9983566403388977,1,0,1,74,0,78,1.0,0.178743961352657,0.30327868852459017
Image 90,0.9983518123626709,1,0,1,75,0,79,1.0,0.18115942028985507,0.3067484662576687
Image 39,0.9982689619064331,1,0,1,76,0,80,1.0,0.18357487922705315,0.3102040816326531
Image 11,0.9982556700706482,1,0,1,77,0,81,1.0,0.1859903381642512,0.3136456211812627
Image 46,0.9981600642204285,1,0,0,78,0,81,1.0,0.18840579710144928,0.3170731707317073
Image 57,0.998157799243927,1,0,1,79,0,82,1.0,0.19082125603864733,0.32048681541582147
Image 97,0.9980923533439636,1,0,1,80,0,83,1.0,0.1932367149758454,0.32388663967611336
Image 49,0.998076319694519,1,0,0,81,0,83,1.0,0.1956521739130435,0.32727272727272727
Image 89,0.9980581402778625,1,0,1,82,0,84,1.0,0.19806763285024154,0.33064516129032256
Image 123,0.9980441331863403,1,0,2,83,0,86,1.0,0.20048309178743962,0.33400402414486924
Image 51,0.9979481101036072,1,0,1,84,0,87,1.0,0.2028985507246377,0.3373493975903615
Image 67,0.9979225993156433,1,0,0,85,0,87,1.0,0.20531400966183574,0.3406813627254509
Image 106,0.9977304339408875,1,0,1,86,0,88,1.0,0.20772946859903382,0.34400000000000003
Image 81,0.9977053999900818,1,0,1,87,0,89,1.0,0.21014492753623187,0.34730538922155685
Image 22,0.9976339340209961,1,0,1,88,0,90,1.0,0.21256038647342995,0.35059760956175295
Image 122,0.9975072741508484,1,0,0,89,0,90,1.0,0.21497584541062803,0.3538767395626243
Image 2,0.9974714517593384,1,0,0,90,0,90,1.0,0.21739130434782608,0.3571428571428571
Image 92,0.9974155426025391,1,0,0,91,0,90,1.0,0.21980676328502416,0.3603960396039604
Image 51,0.9973528385162354,1,0,0,92,0,90,1.0,0.2222222222222222,0.3636363636363636
Image 49,0.99727863073349,1,0,0,93,0,90,1.0,0.2246376811594203,0.3668639053254438
Image 112,0.9972752928733826,1,0,0,94,0,90,1.0,0.22705314009661837,0.37007874015748027
Image 56,0.997191846370697,1,0,0,95,0,90,1.0,0.22946859903381642,0.37328094302554027
